"Gene One","Gene Two","Pearson's r-value","P-Value"
"LOC_Os01g08420","LOC_Os01g52304","0.79777","0.0"
"LOC_Os01g08420","LOC_Os01g53600","0.768738","0.0"
"LOC_Os01g08420","LOC_Os01g53610","0.718055","0.0"
"LOC_Os01g08420","LOC_Os01g53660","0.736402","0.0"
"LOC_Os01g08420","LOC_Os01g54100","0.798731","0.0"
"LOC_Os01g08420","LOC_Os01g54390","0.72048","0.0"
"LOC_Os01g08420","LOC_Os01g54784","0.807479","0.0"
"LOC_Os01g08420","LOC_Os01g54900","0.782304","0.0"
"LOC_Os01g08420","LOC_Os01g54910","0.774176","0.0"
"LOC_Os01g08420","LOC_Os01g54940","0.748412","0.0"
"LOC_Os01g08420","LOC_Os01g55040","0.703806","9.0E-44"
"LOC_Os01g08420","LOC_Os01g55094","0.725509","0.0"
"LOC_Os01g08420","LOC_Os01g55170","0.812464","0.0"
"LOC_Os01g08420","LOC_Os01g55490","0.86346","0.0"
"LOC_Os01g08420","LOC_Os01g55580","0.71804","0.0"
"LOC_Os01g08420","LOC_Os01g55890","0.770784","0.0"
"LOC_Os01g08420","LOC_Os01g56000","0.838766","0.0"
"LOC_Os01g08420","LOC_Os01g56140","0.725191","0.0"
"LOC_Os01g08420","LOC_Os01g56190","0.876536","0.0"
"LOC_Os01g08420","LOC_Os01g56230","0.746687","0.0"
"LOC_Os01g08420","LOC_Os01g56290","0.740289","0.0"
"LOC_Os01g08420","LOC_Os01g56490","0.734053","0.0"
"LOC_Os01g08420","LOC_Os01g56550","0.890856","0.0"
"LOC_Os01g08420","LOC_Os01g56580","0.810109","0.0"
"LOC_Os01g08420","LOC_Os01g56590","0.812835","0.0"
"LOC_Os01g08420","LOC_Os01g56640","0.853765","0.0"
"LOC_Os01g08420","LOC_Os01g56800","0.83402","0.0"
"LOC_Os01g08420","LOC_Os01g56990","0.769056","0.0"
"LOC_Os01g08420","LOC_Os01g58690","0.706618","2.9E-44"
"LOC_Os01g08420","LOC_Os01g59800","0.731901","0.0"
"LOC_Os01g08420","LOC_Os01g61420","0.755898","0.0"
"LOC_Os01g08420","LOC_Os01g61430","0.778555","0.0"
"LOC_Os01g08420","LOC_Os01g61560","0.796428","0.0"
"LOC_Os01g08420","LOC_Os01g61930","0.747937","0.0"
"LOC_Os01g08420","LOC_Os01g62040","0.768244","0.0"
"LOC_Os01g08420","LOC_Os01g62100","0.755002","0.0"
"LOC_Os01g08420","LOC_Os01g62390","0.80224","0.0"
"LOC_Os01g08420","LOC_Os01g62410","0.747464","0.0"
"LOC_Os01g08420","LOC_Os01g62750","0.701734","2.02E-43"
"LOC_Os01g08420","LOC_Os01g62820","0.857231","0.0"
"LOC_Os01g08420","LOC_Os01g63354","0.71954","0.0"
